dia_test,hora_dia,fecha,demanda_real,demanda_predicha,error_absoluto,error_relativo_pct
4,3,2014-02-18,5.74,5.82,0.09,1.49
4,4,2014-02-18,5.79,5.96,0.18,3.04
4,5,2014-02-18,5.83,6.09,0.26,4.45
4,6,2014-02-18,5.89,6.16,0.26,4.5
4,7,2014-02-18,5.89,6.12,0.22,3.8
4,8,2014-02-18,5.92,6.07,0.15,2.5
4,9,2014-02-18,5.82,5.99,0.17,3.0
4,10,2014-02-18,5.56,5.8,0.24,4.39
4,11,2014-02-18,5.3,5.57,0.27,5.06
4,12,2014-02-18,5.23,5.48,0.24,4.63
4,13,2014-02-18,5.07,5.33,0.25,4.99
4,14,2014-02-18,4.66,4.94,0.29,6.2
4,15,2014-02-18,4.4,4.61,0.21,4.84
4,16,2014-02-18,4.6,4.63,0.03,0.58
4,17,2014-02-18,4.06,4.36,0.3,7.39
4,18,2014-02-18,3.75,4.06,0.31,8.27
4,19,2014-02-18,3.56,3.82,0.26,7.41
4,20,2014-02-18,3.48,3.72,0.25,7.14
4,21,2014-02-18,3.55,3.81,0.26,7.2
4,22,2014-02-18,3.78,4.22,0.43,11.43
4,23,2014-02-18,4.04,4.84,0.79,19.62
5,0,2014-02-19,5.52,5.42,0.1,1.75
5,1,2014-02-19,5.67,5.77,0.1,1.69
5,2,2014-02-19,5.74,5.79,0.06,0.98
5,3,2014-02-19,5.79,5.87,0.08,1.38
5,4,2014-02-19,5.83,6.01,0.18,3.08
5,5,2014-02-19,5.89,6.13,0.23,3.96
5,6,2014-02-19,5.89,6.11,0.22,3.75
5,7,2014-02-19,5.92,6.07,0.15,2.57
5,8,2014-02-19,5.82,5.99,0.18,3.04
5,9,2014-02-19,5.56,5.8,0.24,4.38
5,10,2014-02-19,5.3,5.57,0.27,5.02
5,11,2014-02-19,5.23,5.47,0.24,4.57
5,12,2014-02-19,5.07,5.32,0.25,4.93
5,13,2014-02-19,4.66,4.94,0.29,6.13
5,14,2014-02-19,4.4,4.61,0.21,4.76
5,15,2014-02-19,4.6,4.62,0.02,0.52
5,16,2014-02-19,4.06,4.36,0.3,7.33
5,17,2014-02-19,3.75,4.06,0.31,8.22
5,18,2014-02-19,3.56,3.82,0.26,7.37
5,19,2014-02-19,3.48,3.72,0.25,7.1
5,20,2014-02-19,3.55,3.81,0.25,7.18
5,21,2014-02-19,3.78,4.21,0.43,11.41
5,22,2014-02-19,4.04,4.84,0.79,19.61
5,23,2014-02-19,4.26,5.2,0.94,22.04
6,0,2014-02-20,5.67,5.49,0.18,3.14
6,1,2014-02-20,5.74,5.83,0.1,1.69
6,2,2014-02-20,5.79,5.85,0.06,1.07
6,3,2014-02-20,5.83,5.92,0.09,1.63
6,4,2014-02-20,5.89,6.06,0.16,2.77
6,5,2014-02-20,5.89,6.09,0.2,3.33
6,6,2014-02-20,5.92,6.07,0.15,2.6
6,7,2014-02-20,5.82,6.0,0.19,3.18
6,8,2014-02-20,5.56,5.81,0.25,4.49
6,9,2014-02-20,5.3,5.57,0.27,5.05
6,10,2014-02-20,5.23,5.47,0.24,4.57
6,11,2014-02-20,5.07,5.32,0.25,4.91
6,12,2014-02-20,4.66,4.94,0.28,6.08
6,13,2014-02-20,4.4,4.6,0.21,4.7
6,14,2014-02-20,4.6,4.62,0.02,0.47
6,15,2014-02-20,4.06,4.36,0.3,7.29
6,16,2014-02-20,3.75,4.06,0.31,8.19
6,17,2014-02-20,3.56,3.82,0.26,7.33
6,18,2014-02-20,3.48,3.72,0.25,7.07
6,19,2014-02-20,3.55,3.81,0.25,7.16
6,20,2014-02-20,3.78,4.21,0.43,11.4
6,21,2014-02-20,4.04,4.84,0.79,19.6
6,22,2014-02-20,4.26,5.2,0.94,22.04
6,23,2014-02-20,4.54,5.42,0.88,19.36
7,0,2014-02-21,5.74,5.55,0.19,3.3
7,1,2014-02-21,5.79,5.89,0.11,1.85
7,2,2014-02-21,5.83,5.91,0.08,1.4
7,3,2014-02-21,5.89,5.98,0.08,1.42
7,4,2014-02-21,5.89,6.02,0.13,2.24
7,5,2014-02-21,5.92,6.05,0.13,2.23
7,6,2014-02-21,5.82,6.01,0.19,3.25
7,7,2014-02-21,5.56,5.82,0.26,4.67
7,8,2014-02-21,5.3,5.58,0.27,5.18
7,9,2014-02-21,5.23,5.48,0.24,4.63
7,10,2014-02-21,5.07,5.32,0.25,4.92
7,11,2014-02-21,4.66,4.94,0.28,6.06
7,12,2014-02-21,4.4,4.6,0.2,4.64
7,13,2014-02-21,4.6,4.62,0.02,0.42
7,14,2014-02-21,4.06,4.36,0.29,7.23
7,15,2014-02-21,3.75,4.05,0.31,8.14
7,16,2014-02-21,3.56,3.82,0.26,7.28
7,17,2014-02-21,3.48,3.72,0.24,7.03
7,18,2014-02-21,3.55,3.81,0.25,7.14
7,19,2014-02-21,3.78,4.21,0.43,11.39
7,20,2014-02-21,4.04,4.84,0.79,19.6
7,21,2014-02-21,4.26,5.2,0.94,22.04
7,22,2014-02-21,4.54,5.42,0.88,19.37
7,23,2014-02-21,4.76,5.57,0.81,17.01
8,0,2014-02-22,5.79,5.6,0.19,3.27
8,1,2014-02-22,5.83,5.96,0.13,2.19
8,2,2014-02-22,5.89,5.96,0.07,1.22
8,3,2014-02-22,5.89,5.94,0.05,0.88
8,4,2014-02-22,5.92,5.99,0.07,1.14
8,5,2014-02-22,5.82,5.98,0.17,2.85
8,6,2014-02-22,5.56,5.82,0.26,4.73
8,7,2014-02-22,5.3,5.59,0.28,5.35
8,8,2014-02-22,5.23,5.48,0.25,4.75
8,9,2014-02-22,5.07,5.33,0.25,4.97
8,10,2014-02-22,4.66,4.94,0.28,6.04
8,11,2014-02-22,4.4,4.6,0.2,4.6
8,12,2014-02-22,4.6,4.62,0.02,0.38
8,13,2014-02-22,4.06,4.36,0.29,7.18
8,14,2014-02-22,3.75,4.05,0.3,8.08
8,15,2014-02-22,3.56,3.82,0.26,7.23
8,16,2014-02-22,3.48,3.72,0.24,6.99
8,17,2014-02-22,3.55,3.8,0.25,7.12
8,18,2014-02-22,3.78,4.21,0.43,11.39
8,19,2014-02-22,4.04,4.84,0.79,19.61
8,20,2014-02-22,4.26,5.2,0.94,22.05
8,21,2014-02-22,4.54,5.42,0.88,19.37
8,22,2014-02-22,4.76,5.57,0.81,17.02
8,23,2014-02-22,4.94,5.66,0.73,14.69
9,0,2014-02-23,5.83,5.65,0.18,3.07
9,1,2014-02-23,5.89,6.01,0.12,1.97
9,2,2014-02-23,5.89,5.93,0.04,0.7
9,3,2014-02-23,5.92,5.91,0.01,0.22
9,4,2014-02-23,5.82,5.92,0.1,1.73
9,5,2014-02-23,5.56,5.79,0.24,4.25
9,6,2014-02-23,5.3,5.59,0.28,5.31
9,7,2014-02-23,5.23,5.49,0.25,4.84
9,8,2014-02-23,5.07,5.33,0.26,5.03
9,9,2014-02-23,4.66,4.94,0.28,6.04
9,10,2014-02-23,4.4,4.6,0.2,4.55
9,11,2014-02-23,4.6,4.61,0.02,0.33
9,12,2014-02-23,4.06,4.35,0.29,7.12
9,13,2014-02-23,3.75,4.05,0.3,8.01
9,14,2014-02-23,3.56,3.82,0.26,7.17
9,15,2014-02-23,3.48,3.72,0.24,6.95
9,16,2014-02-23,3.55,3.8,0.25,7.1
9,17,2014-02-23,3.78,4.21,0.43,11.4
9,18,2014-02-23,4.04,4.84,0.79,19.63
9,19,2014-02-23,4.26,5.2,0.94,22.07
9,20,2014-02-23,4.54,5.42,0.88,19.39
9,21,2014-02-23,4.76,5.57,0.81,17.04
9,22,2014-02-23,4.94,5.66,0.73,14.7
9,23,2014-02-23,5.05,5.73,0.68,13.39
10,0,2014-02-24,5.89,5.69,0.2,3.37
10,1,2014-02-24,5.89,5.98,0.09,1.55
10,2,2014-02-24,5.92,5.91,0.01,0.24
10,3,2014-02-24,5.82,5.84,0.02,0.39
10,4,2014-02-24,5.56,5.72,0.16,2.94
10,5,2014-02-24,5.3,5.55,0.25,4.68
10,6,2014-02-24,5.23,5.48,0.25,4.74
10,7,2014-02-24,5.07,5.33,0.26,5.11
10,8,2014-02-24,4.66,4.94,0.28,6.08
10,9,2014-02-24,4.4,4.59,0.2,4.53
10,10,2014-02-24,4.6,4.61,0.01,0.3
10,11,2014-02-24,4.06,4.35,0.29,7.08
10,12,2014-02-24,3.75,4.05,0.3,7.96
10,13,2014-02-24,3.56,3.81,0.25,7.12
10,14,2014-02-24,3.48,3.72,0.24,6.92
10,15,2014-02-24,3.55,3.8,0.25,7.11
10,16,2014-02-24,3.78,4.22,0.43,11.43
10,17,2014-02-24,4.04,4.84,0.8,19.67
10,18,2014-02-24,4.26,5.2,0.94,22.11
10,19,2014-02-24,4.54,5.42,0.88,19.43
10,20,2014-02-24,4.76,5.57,0.81,17.07
10,21,2014-02-24,4.94,5.67,0.73,14.73
10,22,2014-02-24,5.05,5.73,0.68,13.42
10,23,2014-02-24,5.04,5.77,0.74,14.64
11,0,2014-02-25,5.89,5.67,0.22,3.74
11,1,2014-02-25,5.92,5.98,0.06,0.99
11,2,2014-02-25,5.82,5.86,0.04,0.73
11,3,2014-02-25,5.56,5.66,0.1,1.81
11,4,2014-02-25,5.3,5.49,0.18,3.48
11,5,2014-02-25,5.23,5.46,0.22,4.26
11,6,2014-02-25,5.07,5.34,0.26,5.15
11,7,2014-02-25,4.66,4.95,0.29,6.28
11,8,2014-02-25,4.4,4.6,0.21,4.7
11,9,2014-02-25,4.6,4.62,0.02,0.43
11,10,2014-02-25,4.06,4.36,0.29,7.17
11,11,2014-02-25,3.75,4.05,0.3,8.01
11,12,2014-02-25,3.56,3.81,0.25,7.16
11,13,2014-02-25,3.48,3.72,0.24,6.97
11,14,2014-02-25,3.55,3.81,0.26,7.2
11,15,2014-02-25,3.78,4.22,0.44,11.55
11,16,2014-02-25,4.04,4.85,0.8,19.79
11,17,2014-02-25,4.26,5.2,0.95,22.22
11,18,2014-02-25,4.54,5.42,0.89,19.52
11,19,2014-02-25,4.76,5.58,0.82,17.15
11,20,2014-02-25,4.94,5.67,0.73,14.79
11,21,2014-02-25,5.05,5.73,0.68,13.47
11,22,2014-02-25,5.04,5.78,0.74,14.68
11,23,2014-02-25,5.07,5.83,0.76,15.07
12,0,2014-02-26,5.92,5.67,0.25,4.25
12,1,2014-02-26,5.82,5.93,0.11,1.88
12,2,2014-02-26,5.56,5.67,0.12,2.11
12,3,2014-02-26,5.3,5.43,0.12,2.32
12,4,2014-02-26,5.23,5.4,0.17,3.19
12,5,2014-02-26,5.07,5.32,0.24,4.78
12,6,2014-02-26,4.66,4.95,0.3,6.41
12,7,2014-02-26,4.4,4.61,0.22,4.97
12,8,2014-02-26,4.6,4.63,0.03,0.69
12,9,2014-02-26,4.06,4.36,0.3,7.39
12,10,2014-02-26,3.75,4.06,0.31,8.16
12,11,2014-02-26,3.56,3.82,0.26,7.25
12,12,2014-02-26,3.48,3.72,0.25,7.07
12,13,2014-02-26,3.55,3.81,0.26,7.33
12,14,2014-02-26,3.78,4.23,0.44,11.69
12,15,2014-02-26,4.04,4.85,0.81,19.94
12,16,2014-02-26,4.26,5.21,0.95,22.35
12,17,2014-02-26,4.54,5.43,0.89,19.62
12,18,2014-02-26,4.76,5.58,0.82,17.23
12,19,2014-02-26,4.94,5.67,0.73,14.87
12,20,2014-02-26,5.05,5.73,0.68,13.53
12,21,2014-02-26,5.04,5.78,0.74,14.73
12,22,2014-02-26,5.07,5.83,0.77,15.1
12,23,2014-02-26,5.15,5.84,0.69,13.4
13,0,2014-02-27,5.82,5.62,0.19,3.33
13,1,2014-02-27,5.56,5.76,0.2,3.68
13,2,2014-02-27,5.3,5.47,0.16,3.05
13,3,2014-02-27,5.23,5.35,0.12,2.25
13,4,2014-02-27,5.07,5.27,0.19,3.82
13,5,2014-02-27,4.66,4.94,0.29,6.13
13,6,2014-02-27,4.4,4.63,0.23,5.21
13,7,2014-02-27,4.6,4.65,0.05,1.1
13,8,2014-02-27,4.06,4.38,0.32,7.8
13,9,2014-02-27,3.75,4.07,0.32,8.49
13,10,2014-02-27,3.56,3.83,0.27,7.51
13,11,2014-02-27,3.48,3.73,0.25,7.29
13,12,2014-02-27,3.55,3.82,0.27,7.55
13,13,2014-02-27,3.78,4.23,0.45,11.92
13,14,2014-02-27,4.04,4.86,0.82,20.16
13,15,2014-02-27,4.26,5.22,0.96,22.54
13,16,2014-02-27,4.54,5.44,0.9,19.78
13,17,2014-02-27,4.76,5.59,0.83,17.36
13,18,2014-02-27,4.94,5.68,0.74,14.97
13,19,2014-02-27,5.05,5.74,0.69,13.62
13,20,2014-02-27,5.04,5.78,0.75,14.8
13,21,2014-02-27,5.07,5.83,0.77,15.16
13,22,2014-02-27,5.15,5.84,0.69,13.44
13,23,2014-02-27,5.2,5.86,0.66,12.67
14,0,2014-02-28,5.56,5.48,0.07,1.31
14,1,2014-02-28,5.3,5.59,0.29,5.39
14,2,2014-02-28,5.23,5.42,0.19,3.64
14,3,2014-02-28,5.07,5.25,0.18,3.47
14,4,2014-02-28,4.66,4.92,0.26,5.6
14,5,2014-02-28,4.4,4.63,0.23,5.3
14,6,2014-02-28,4.6,4.67,0.08,1.65
14,7,2014-02-28,4.06,4.41,0.35,8.55
14,8,2014-02-28,3.75,4.09,0.35,9.21
14,9,2014-02-28,3.56,3.85,0.29,8.12
14,10,2014-02-28,3.48,3.75,0.27,7.81
14,11,2014-02-28,3.55,3.84,0.28,8.0
14,12,2014-02-28,3.78,4.25,0.47,12.34
14,13,2014-02-28,4.04,4.88,0.83,20.56
14,14,2014-02-28,4.26,5.23,0.97,22.87
14,15,2014-02-28,4.54,5.45,0.91,20.05
14,16,2014-02-28,4.76,5.6,0.84,17.58
14,17,2014-02-28,4.94,5.69,0.75,15.14
14,18,2014-02-28,5.05,5.74,0.69,13.75
14,19,2014-02-28,5.04,5.79,0.75,14.91
14,20,2014-02-28,5.07,5.84,0.77,15.24
14,21,2014-02-28,5.15,5.85,0.7,13.52
14,22,2014-02-28,5.2,5.86,0.66,12.73
14,23,2014-02-28,5.2,5.79,0.59,11.37
15,0,2014-03-01,5.3,5.34,0.04,0.68
15,1,2014-03-01,5.23,5.55,0.31,5.98
15,2,2014-03-01,5.07,5.32,0.25,4.86
15,3,2014-03-01,4.66,4.9,0.25,5.29
15,4,2014-03-01,4.4,4.6,0.21,4.74
15,5,2014-03-01,4.6,4.67,0.07,1.63
15,6,2014-03-01,4.06,4.43,0.37,9.06
15,7,2014-03-01,3.75,4.12,0.37,9.93
15,8,2014-03-01,3.56,3.87,0.31,8.83
15,9,2014-03-01,3.48,3.77,0.29,8.44
15,10,2014-03-01,3.55,3.86,0.3,8.54
15,11,2014-03-01,3.78,4.27,0.49,12.86
15,12,2014-03-01,4.04,4.9,0.85,21.06
15,13,2014-03-01,4.26,5.25,0.99,23.32
15,14,2014-03-01,4.54,5.47,0.93,20.42
15,15,2014-03-01,4.76,5.61,0.85,17.88
15,16,2014-03-01,4.94,5.7,0.76,15.4
15,17,2014-03-01,5.05,5.75,0.7,13.96
15,18,2014-03-01,5.04,5.8,0.76,15.08
15,19,2014-03-01,5.07,5.85,0.78,15.39
15,20,2014-03-01,5.15,5.85,0.7,13.64
15,21,2014-03-01,5.2,5.86,0.67,12.84
15,22,2014-03-01,5.2,5.8,0.6,11.47
15,23,2014-03-01,5.13,5.6,0.47,9.19
16,0,2014-03-02,5.23,5.31,0.08,1.44
16,1,2014-03-02,5.07,5.41,0.33,6.54
16,2,2014-03-02,4.66,4.94,0.29,6.2
16,3,2014-03-02,4.4,4.58,0.18,4.11
16,4,2014-03-02,4.6,4.64,0.04,0.85
16,5,2014-03-02,4.06,4.42,0.36,8.75
16,6,2014-03-02,3.75,4.13,0.38,10.18
16,7,2014-03-02,3.56,3.89,0.33,9.34
16,8,2014-03-02,3.48,3.79,0.31,9.0
16,9,2014-03-02,3.55,3.87,0.32,9.06
16,10,2014-03-02,3.78,4.29,0.51,13.36
16,11,2014-03-02,4.04,4.92,0.87,21.53
16,12,2014-03-02,4.26,5.27,1.01,23.74
16,13,2014-03-02,4.54,5.48,0.94,20.76
16,14,2014-03-02,4.76,5.63,0.86,18.16
16,15,2014-03-02,4.94,5.71,0.77,15.62
16,16,2014-03-02,5.05,5.76,0.71,14.13
16,17,2014-03-02,5.04,5.8,0.77,15.22
16,18,2014-03-02,5.07,5.85,0.79,15.52
16,19,2014-03-02,5.15,5.86,0.71,13.75
16,20,2014-03-02,5.2,5.87,0.67,12.93
16,21,2014-03-02,5.2,5.8,0.6,11.54
16,22,2014-03-02,5.13,5.61,0.47,9.26
16,23,2014-03-02,4.91,5.38,0.47,9.62
17,0,2014-03-03,5.07,5.19,0.11,2.26
17,1,2014-03-03,4.66,5.07,0.41,8.84
17,2,2014-03-03,4.4,4.66,0.27,6.08
17,3,2014-03-03,4.6,4.65,0.06,1.21
17,4,2014-03-03,4.06,4.42,0.36,8.75
17,5,2014-03-03,3.75,4.15,0.4,10.59
17,6,2014-03-03,3.56,3.92,0.36,10.19
17,7,2014-03-03,3.48,3.82,0.35,10.04
17,8,2014-03-03,3.55,3.91,0.36,10.09
17,9,2014-03-03,3.78,4.32,0.54,14.31
17,10,2014-03-03,4.04,4.95,0.91,22.42
17,11,2014-03-03,4.26,5.3,1.04,24.5
17,12,2014-03-03,4.54,5.51,0.97,21.39
17,13,2014-03-03,4.76,5.65,0.89,18.67
17,14,2014-03-03,4.94,5.73,0.79,16.03
17,15,2014-03-03,5.05,5.78,0.73,14.46
17,16,2014-03-03,5.04,5.82,0.78,15.48
17,17,2014-03-03,5.07,5.86,0.8,15.73
17,18,2014-03-03,5.15,5.87,0.72,13.93
17,19,2014-03-03,5.2,5.88,0.68,13.09
17,20,2014-03-03,5.2,5.81,0.61,11.68
17,21,2014-03-03,5.13,5.61,0.48,9.37
17,22,2014-03-03,4.91,5.38,0.48,9.72
17,23,2014-03-03,4.72,5.28,0.55,11.67
18,0,2014-03-04,4.66,4.9,0.24,5.22
18,1,2014-03-04,4.4,4.84,0.44,10.06
18,2,2014-03-04,4.6,4.79,0.19,4.22
18,3,2014-03-04,4.06,4.49,0.42,10.44
18,4,2014-03-04,3.75,4.19,0.44,11.76
18,5,2014-03-04,3.56,3.97,0.41,11.55
18,6,2014-03-04,3.48,3.88,0.4,11.65
18,7,2014-03-04,3.55,3.97,0.42,11.77
18,8,2014-03-04,3.78,4.38,0.6,15.91
18,9,2014-03-04,4.04,5.01,0.97,23.94
18,10,2014-03-04,4.26,5.36,1.1,25.85
18,11,2014-03-04,4.54,5.56,1.02,22.51
18,12,2014-03-04,4.76,5.69,0.93,19.59
18,13,2014-03-04,4.94,5.77,0.83,16.77
18,14,2014-03-04,5.05,5.81,0.76,15.03
18,15,2014-03-04,5.04,5.84,0.8,15.95
18,16,2014-03-04,5.07,5.88,0.82,16.12
18,17,2014-03-04,5.15,5.89,0.73,14.25
18,18,2014-03-04,5.2,5.89,0.69,13.36
18,19,2014-03-04,5.2,5.82,0.62,11.91
18,20,2014-03-04,5.13,5.62,0.49,9.57
18,21,2014-03-04,4.91,5.39,0.49,9.89
18,22,2014-03-04,4.72,5.28,0.56,11.83
18,23,2014-03-04,4.57,5.16,0.6,13.06
19,0,2014-03-05,4.4,4.73,0.34,7.67
19,1,2014-03-05,4.6,4.93,0.33,7.17
19,2,2014-03-05,4.06,4.57,0.51,12.5
19,3,2014-03-05,3.75,4.21,0.47,12.43
19,4,2014-03-05,3.56,3.98,0.42,11.8
19,5,2014-03-05,3.48,3.9,0.42,12.18
19,6,2014-03-05,3.55,4.0,0.45,12.68
19,7,2014-03-05,3.78,4.43,0.65,17.1
19,8,2014-03-05,4.04,5.06,1.02,25.21
19,9,2014-03-05,4.26,5.41,1.15,27.03
19,10,2014-03-05,4.54,5.61,1.07,23.53
19,11,2014-03-05,4.76,5.74,0.97,20.45
19,12,2014-03-05,4.94,5.8,0.86,17.44
19,13,2014-03-05,5.05,5.83,0.79,15.56
19,14,2014-03-05,5.04,5.86,0.83,16.38
19,15,2014-03-05,5.07,5.9,0.84,16.49
19,16,2014-03-05,5.15,5.9,0.75,14.56
19,17,2014-03-05,5.2,5.91,0.71,13.63
19,18,2014-03-05,5.2,5.83,0.63,12.13
19,19,2014-03-05,5.13,5.63,0.5,9.75
19,20,2014-03-05,4.91,5.4,0.49,10.06
19,21,2014-03-05,4.72,5.29,0.57,11.98
19,22,2014-03-05,4.57,5.17,0.6,13.19
19,23,2014-03-05,4.22,4.86,0.64,15.07
20,0,2014-03-06,4.6,4.85,0.25,5.51
20,1,2014-03-06,4.06,4.66,0.59,14.62
20,2,2014-03-06,3.75,4.24,0.49,13.07
20,3,2014-03-06,3.56,3.95,0.39,11.09
20,4,2014-03-06,3.48,3.87,0.39,11.25
20,5,2014-03-06,3.55,3.99,0.44,12.32
20,6,2014-03-06,3.78,4.44,0.66,17.45
20,7,2014-03-06,4.04,5.1,1.05,26.03
20,8,2014-03-06,4.26,5.45,1.19,28.02
20,9,2014-03-06,4.54,5.65,1.11,24.46
20,10,2014-03-06,4.76,5.78,1.01,21.27
20,11,2014-03-06,4.94,5.83,0.89,18.12
20,12,2014-03-06,5.05,5.86,0.81,16.13
20,13,2014-03-06,5.04,5.89,0.85,16.88
20,14,2014-03-06,5.07,5.92,0.86,16.92
20,15,2014-03-06,5.15,5.92,0.77,14.94
20,16,2014-03-06,5.2,5.92,0.73,13.96
20,17,2014-03-06,5.2,5.85,0.65,12.42
20,18,2014-03-06,5.13,5.65,0.51,10.01
20,19,2014-03-06,4.91,5.41,0.51,10.29
20,20,2014-03-06,4.72,5.3,0.58,12.2
20,21,2014-03-06,4.57,5.18,0.61,13.39
20,22,2014-03-06,4.22,4.87,0.64,15.26
20,23,2014-03-06,3.94,4.57,0.63,15.98
21,0,2014-03-07,4.06,4.58,0.51,12.59
21,1,2014-03-07,3.75,4.42,0.67,17.84
21,2,2014-03-07,3.56,4.1,0.54,15.11
21,3,2014-03-07,3.48,3.95,0.47,13.63
21,4,2014-03-07,3.55,4.05,0.5,13.97
21,5,2014-03-07,3.78,4.51,0.73,19.17
21,6,2014-03-07,4.04,5.18,1.14,28.1
21,7,2014-03-07,4.26,5.55,1.29,30.25
21,8,2014-03-07,4.54,5.74,1.2,26.53
21,9,2014-03-07,4.76,5.86,1.1,23.05
21,10,2014-03-07,4.94,5.9,0.97,19.57
21,11,2014-03-07,5.05,5.92,0.87,17.28
21,12,2014-03-07,5.04,5.94,0.9,17.84
21,13,2014-03-07,5.07,5.96,0.9,17.74
21,14,2014-03-07,5.15,5.96,0.8,15.62
21,15,2014-03-07,5.2,5.95,0.76,14.53
21,16,2014-03-07,5.2,5.87,0.67,12.89
21,17,2014-03-07,5.13,5.67,0.53,10.4
21,18,2014-03-07,4.91,5.43,0.52,10.65
21,19,2014-03-07,4.72,5.32,0.59,12.53
21,20,2014-03-07,4.57,5.19,0.62,13.68
21,21,2014-03-07,4.22,4.88,0.66,15.52
21,22,2014-03-07,3.94,4.58,0.64,16.22
21,23,2014-03-07,4.21,4.6,0.38,9.03
22,0,2014-03-08,3.75,4.42,0.67,17.86
22,1,2014-03-08,3.56,4.28,0.72,20.17
22,2,2014-03-08,3.48,4.08,0.61,17.42
22,3,2014-03-08,3.55,4.13,0.57,16.18
22,4,2014-03-08,3.78,4.57,0.79,20.84
22,5,2014-03-08,4.04,5.26,1.21,30.03
22,6,2014-03-08,4.26,5.64,1.39,32.53
22,7,2014-03-08,4.54,5.85,1.31,28.84
22,8,2014-03-08,4.76,5.96,1.2,25.14
22,9,2014-03-08,4.94,5.99,1.06,21.37
22,10,2014-03-08,5.05,6.0,0.95,18.8
